Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-wcx7,branch-spxp
11,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5-quantised,2,probe_selfreport,Eligible,Voucher,Yes
12,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 ,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
13,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 -quantised,1,probe_selfreport,Eligible,Voucher,Yes
14,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
15,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7-quantised,1,probe_selfreport,Eligible,Voucher,Yes
16,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 ,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
17,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 -quantised,3,probe_selfreport,Eligible,Voucher,Yes
18,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 ,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
19,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 -quantised,4,probe_selfreport,Eligible,Voucher,Yes
20,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 ,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
21,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 -quantised,2,probe_selfreport,Eligible,Voucher,Yes
22,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 11 ,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
23,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 11 -quantised,2,probe_selfreport,Eligible,Voucher,Yes
24,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 12 ,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
25,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 12 -quantised,1,probe_selfreport,Eligible,Voucher,Yes
26,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 13 ,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
27,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 13 -quantised,2,probe_selfreport,Eligible,Voucher,Yes
28,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 14 ,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
29,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 14 -quantised,3,probe_selfreport,Eligible,Voucher,Yes
30,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 ,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
31,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 -quantised,3,probe_selfreport,Eligible,Voucher,Yes
32,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
33,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16-quantised,4,probe_selfreport,Eligible,Voucher,Yes
34,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
35,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17-quantised,4,probe_selfreport,Eligible,Voucher,Yes
36,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
37,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18-quantised,3,probe_selfreport,Eligible,Voucher,Yes
38,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 ,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
39,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 -quantised,4,probe_selfreport,Eligible,Voucher,Yes
40,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
41,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20-quantised,1,probe_selfreport,Eligible,Voucher,Yes
42,1755089069360,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
43,1755089069424,13/08/2025 12:44,1755089069098,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21-quantised,3,probe_selfreport,Eligible,Voucher,Yes
44,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
45,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22-quantised,3,probe_selfreport,Eligible,Voucher,Yes
46,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 ,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
47,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 -quantised,2,probe_selfreport,Eligible,Voucher,Yes
48,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
49,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24-quantised,2,probe_selfreport,Eligible,Voucher,Yes
50,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
51,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25-quantised,4,probe_selfreport,Eligible,Voucher,Yes
52,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 ,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
53,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 -quantised,3,probe_selfreport,Eligible,Voucher,Yes
54,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 ,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
55,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 -quantised,1,probe_selfreport,Eligible,Voucher,Yes
56,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
57,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28-quantised,1,probe_selfreport,Eligible,Voucher,Yes
58,1755089069424,13/08/2025 12:44,1755089069099,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,END QUESTIONNAIRE,86292,probe_selfreport,Eligible,Voucher,Yes
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
